date,close,volume,open,high,low,
1/2/2019,1054.68,1582524,1027.2,1060.79,1025.275,27
1/3/2019,1025.47,2094929,1050.67,1066.26,1022.37,26
1/4/2019,1078.07,2301042,1042.56,1080,1036.86,25
1/7/2019,1075.92,2371538,1080.97,1082.7,1062.64,24
1/8/2019,1085.37,1759640,1086,1093.35,1068.3486,23
1/9/2019,1081.65,1348040,1087.99,1091.64,1074.37,22
1/10/2019,1078.83,1328481,1074.94,1079.81,1064.68,21
1/11/2019,1064.47,1538460,1069.9,1073.37,1056.43,20
1/14/2019,1051.51,1416199,1053.34,1058.45,1048.55,19
1/15/2019,1086.51,1845666,1058.01,1088.27,1054.44,18
1/16/2019,1089.51,1909194,1090,1102.36,1088.01,17
1/17/2019,1099.12,1235995,1087.99,1100.7,1083.255,16
1/18/2019,1107.3,2215050,1108.59,1118,1099.2834,15
1/22/2019,1078.63,1975801,1096,1098.97,1070.89,14
1/23/2019,1084.41,1252204,1086.86,1092.95,1067.57,13
1/24/2019,1084,1455698,1082.51,1088,1070.02,12
1/25/2019,1101.51,1155725,1094.23,1103.36,1091.8012,11
1/28/2019,1079.86,1465078,1090.07,1093.365,1074.61,10
1/29/2019,1070.06,978913,1081.04,1084.73,1066.02,9
1/30/2019,1097.99,1451369,1077.36,1099.52,1076.64,8
1/31/2019,1125.89,2002173,1112.24,1127.67,1105.25,7
2/1/2019,1118.62,1649017,1122.29,1134.4,1114.25,6
2/4/2019,1141.42,3859255,1119.01,1142.34,1117.51,5
2/5/2019,1151.87,4110798,1129.63,1152.77,1123.6,4
2/6/2019,1122.89,2406138,1149.27,1154,1118.36,3
2/7/2019,1105.91,1912897,1111.82,1111.99,1093.59,2
2/8/2019,1102.38,1087325,1094.88,1105.095,1094.24,1
